How comfortable did you feel when the robot approached you in this video? ,How friendly did the robot seem?,Did you feel like the robot was trying to engage with you in a positive way?  ,"Did the robot's wave, attentive and nod gestures make it feel more approachable? ",How relaxed or tensed you felt when robot approached you? 
Uncomfortable,Neutral,Neutral,Slightly approachable,Tense
Very Uncomfortable,Neutral,Slightly,Slightly approachable,Very Tense
Uncomfortable,Friendly,Neutral,Slightly approachable,Tense
Very Uncomfortable,Neutral,Neutral,Slightly approachable,Very Tense
Neutral,Neutral,Slightly,Slightly approachable,Very Tense
Very Uncomfortable,Unfriendly,Slightly,Slightly approachable,Tense
Neutral,Neutral,Slightly,Slightly approachable,Very Tense
Very Uncomfortable,Neutral,Somewhat,Neutral,Very Tense
Very Uncomfortable,Neutral,Slightly,Slightly approachable,Tense
Uncomfortable,Friendly,Slightly,Neutral,Neutral
