How comfortable did you feel when the robot approached you in this video? ,How friendly did the robot seem?,Did you feel like the robot was trying to engage with you in a positive way?  ,"Did the robot's wave, attentive and nod gestures make it feel more approachable? ",How relaxed or tensed you felt when robot approached you? 
Comfortable,Friendly,Somewhat,Approachable,Neutral
Comfortable,Friendly,Neutral,Approachable,Neutral
Comfortable,Very Friendly,Very much,Approachable,Neutral
Comfortable,Friendly,Neutral,Neutral,Neutral
Neutral,Friendly,Very much,Very approachable,Relaxed
Neutral,Friendly,Somewhat,Approachable,Neutral
Neutral,Friendly,Somewhat,Very approachable,Neutral
Very Comfortable,Very Friendly,Very much,Very approachable,Very Relaxed
Very Comfortable,Friendly,Somewhat,Approachable,Relaxed
Comfortable,Very Friendly,Very much,Approachable,Relaxed
